Peer ID : 9
Mean Block Creation Time : 30000.0 ms

5edd480b-0e6f-11ec-8feb-0dcea3726d40 : 5880642.41 ms

5edd4830-0e6f-11ec-8feb-0dcea3726d40 : 5906303.51 ms

5edd486f-0e6f-11ec-8feb-0dcea3726d40 : 5967803.27 ms

5edd4882-0e6f-11ec-8feb-0dcea3726d40 : 5977720.06 ms

5edd48a3-0e6f-11ec-8feb-0dcea3726d40 : 5987969.56 ms

5edd48a8-0e6f-11ec-8feb-0dcea3726d40 : 6006454.35 ms

5edd48c7-0e6f-11ec-8feb-0dcea3726d40 : 6049762.08 ms

5edd48e7-0e6f-11ec-8feb-0dcea3726d40 : 6050909.19 ms

5edd48fc-0e6f-11ec-8feb-0dcea3726d40 : 6066856.25 ms

5edd491a-0e6f-11ec-8feb-0dcea3726d40 : 6107017.64 ms

5edd4941-0e6f-11ec-8feb-0dcea3726d40 : 6109336.13 ms

5edd495f-0e6f-11ec-8feb-0dcea3726d40 : 6117445.03 ms

5edd4978-0e6f-11ec-8feb-0dcea3726d40 : 6133712.02 ms

5edd4995-0e6f-11ec-8feb-0dcea3726d40 : 6160838.68 ms

5edd49bf-0e6f-11ec-8feb-0dcea3726d40 : 6236953.53 ms

5edd49e9-0e6f-11ec-8feb-0dcea3726d40 : 6271303.92 ms

5edd4a0c-0e6f-11ec-8feb-0dcea3726d40 : 6281609.37 ms

5edd4a27-0e6f-11ec-8feb-0dcea3726d40 : 6317562.03 ms

5edd4a44-0e6f-11ec-8feb-0dcea3726d40 : 6366207.08 ms

5edd4a9e-0e6f-11ec-8feb-0dcea3726d40 : 6545188.8 ms

5edd4ac0-0e6f-11ec-8feb-0dcea3726d40 : 6578408.15 ms

5edd4adc-0e6f-11ec-8feb-0dcea3726d40 : 6585269.05 ms

5edd4b00-0e6f-11ec-8feb-0dcea3726d40 : 6595953.94 ms

5edd4b0f-0e6f-11ec-8feb-0dcea3726d40 : 6600779.96 ms

5edd4b1b-0e6f-11ec-8feb-0dcea3726d40 : 6631032.65 ms

5edd4b46-0e6f-11ec-8feb-0dcea3726d40 : 6718305.44 ms

5edd4b72-0e6f-11ec-8feb-0dcea3726d40 : 6724151.5 ms

5edd4b85-0e6f-11ec-8feb-0dcea3726d40 : 6745686.11 ms

5edd4ba4-0e6f-11ec-8feb-0dcea3726d40 : 6749572.74 ms

5f49d648-0e6f-11ec-8feb-0dcea3726d40 : 6750743.4 ms

5f49d664-0e6f-11ec-8feb-0dcea3726d40 : 6762048.89 ms

5f49d679-0e6f-11ec-8feb-0dcea3726d40 : 6769647.33 ms

5f49d68f-0e6f-11ec-8feb-0dcea3726d40 : 6865311.47 ms

5f49d6c9-0e6f-11ec-8feb-0dcea3726d40 : 6921557.39 ms

5f49d6eb-0e6f-11ec-8feb-0dcea3726d40 : 6958629.3 ms

5f49d713-0e6f-11ec-8feb-0dcea3726d40 : 6982208.58 ms

5f49d72d-0e6f-11ec-8feb-0dcea3726d40 : 6983787.75 ms

5f49d73a-0e6f-11ec-8feb-0dcea3726d40 : 7026121.92 ms

5f49d75d-0e6f-11ec-8feb-0dcea3726d40 : 7049176.92 ms

5f49d788-0e6f-11ec-8feb-0dcea3726d40 : 7069497.17 ms

5f49d79e-0e6f-11ec-8feb-0dcea3726d40 : 7104877.36 ms

5f49d7cc-0e6f-11ec-8feb-0dcea3726d40 : 7129617.15 ms

5f49d7e9-0e6f-11ec-8feb-0dcea3726d40 : 7192874.39 ms

5f49d813-0e6f-11ec-8feb-0dcea3726d40 : 7220595.98 ms

5f49d82e-0e6f-11ec-8feb-0dcea3726d40 : 7221391.05 ms

5f49d841-0e6f-11ec-8feb-0dcea3726d40 : 7246664.37 ms

5f49d867-0e6f-11ec-8feb-0dcea3726d40 : 7261568.72 ms

